method,n,exact,token_f1,lexical_drift,evidence_route_rate,complexity_acc,primary_class_acc,policy_entries
predicted_complexity_policy,15426,0.012446518864255154,0.41843527715705836,0.5201607675353299,0.6595358485673538,0.6766498120057046,0.657007649423052,3
predicted_class_policy,15426,0.015947102294826914,0.41990374855499624,0.5138726824841178,0.4474912485414236,0.6766498120057046,0.657007649423052,18
predicted_bucket_policy,15426,0.017049137819266175,0.4251725838046209,0.5071956437183975,0.49040580837547,0.6766498120057046,0.657007649423052,50
