dev_size,method,runs,token_f1_mean,token_f1_std,exact_mean,lexical_drift_mean,evidence_route_rate_mean
529,bucket_policy,10,0.42471626630682646,0.001072579298403909,0.01795021392454298,0.49866459224685594,0.3690716971347076
529,class_policy,10,0.42237925974137946,0.0018385259131713226,0.016329573447426422,0.5105989887203423,0.4311551925320886
529,complexity_policy,10,0.42430555152414895,0.0024469311795818753,0.01778166731492286,0.5074938415661869,0.5569882017373267
1000,bucket_policy,10,0.42826206206717704,0.0009160140437852895,0.01788030758943497,0.5008024072216649,0.4932196589769308
1000,class_policy,10,0.4225880963770051,0.0015961334913701668,0.01639585422935473,0.5123436977599465,0.44680040120361086
1000,complexity_policy,10,0.42483927159804236,0.0005277320080094051,0.017886994316282177,0.5059979939819458,0.5568371782012705
