n,exact,token_f1,lexical_drift,method,evidence_route_rate,threshold,dev_token_f1,feature_count,mean_route_probability
15426,0.017956696486451446,0.4160038212873599,0.42311681576559057,direct_template,0.0,,,,
15426,0.007065992480228186,0.4126510836359955,0.4809412679891093,uniform_evidence_rerank,1.0,,,,
15426,0.01724361467652016,0.4267829611832511,0.43361856605730587,bucket_gate,0.4419810709192273,,,,
15426,0.01756774277194347,0.42955858643911016,0.43776740567872424,rcetr_no_tree,0.34286269933877866,0.25,0.44996146078364135,40,0.22133383474703147
15426,0.018151173343705432,0.428344411153821,0.44081420977570335,rcetr_no_bucket,0.32490600285232724,0.25,0.4446093434680683,40,0.22140922200536636
15426,0.017697394010112798,0.42933518325277614,0.4327110073901206,rcetr_v2,0.2337611824192921,0.3,0.45011636417445333,40,0.22291221061953903
