method,n,exact_match,token_f1,hallucination_proxy_rate,complexity_accuracy,top_class_accuracy
class_majority,15955,0.0742713882795362,0.3710320139183659,0.47408335944844876,"{""1"": 0.21561135371179038, ""2"": 0.0, ""3"": 0.0}","{""polyp_removal_status"": 0.0766939687267312, ""box_artifact_presence"": 0.061823802163833076, ""text_presence"": 0.0499219968798752, ""abnormality_presence"": 0.0625, ""procedure_type"": 0.15944540727902945, ""instrument_presence"": 0.04083570750237417, ""instrument_count"": 0.08557213930348259, ""polyp_size"": 0.059006211180124224, ""instrument_location"": 0.03536977491961415, ""finding_count"": 0.10822510822510822, ""polyp_type"": 0.03530751708428246, ""abnormality_color"": 0.03734939759036145}"
qwen_direct,15955,0.00025070510811657786,0.19896607986101392,0.6451895957380132,"{""1"": 0.0, ""2"": 0.00019043991620643687, ""3"": 0.000576036866359447}","{""polyp_removal_status"": 0.0, ""box_artifact_presence"": 0.0, ""text_presence"": 0.0, ""abnormality_presence"": 0.0, ""procedure_type"": 0.0, ""instrument_presence"": 0.0, ""instrument_count"": 0.0, ""polyp_size"": 0.002070393374741201, ""instrument_location"": 0.0010718113612004287, ""finding_count"": 0.0, ""polyp_type"": 0.0, ""abnormality_color"": 0.0}"
tfidf_direct_template,15955,0.01811344406142275,0.41640556962814557,0.4427452209338765,"{""1"": 0.04057496360989811, ""2"": 0.0076175966482574745, ""3"": 0.0049923195084485405}","{""polyp_removal_status"": 0.006701414743112435, ""box_artifact_presence"": 0.01854714064914992, ""text_presence"": 0.0234009360374415, ""abnormality_presence"": 0.003289473684210526, ""procedure_type"": 0.0779896013864818, ""instrument_presence"": 0.000949667616334283, ""instrument_count"": 0.010945273631840797, ""polyp_size"": 0.027950310559006212, ""instrument_location"": 0.012861736334405145, ""finding_count"": 0.0, ""polyp_type"": 0.007972665148063782, ""abnormality_color"": 0.0036144578313253013}"
tfidf_evidence_rerank,15955,0.006957066750235036,0.41293708310233573,0.5111250391726732,"{""1"": 0.009461426491994178, ""2"": 0.005141877737573796, ""3"": 0.006144393241167435}","{""polyp_removal_status"": 0.011913626209977662, ""box_artifact_presence"": 0.0007727975270479134, ""text_presence"": 0.01014040561622465, ""abnormality_presence"": 0.0024671052631578946, ""procedure_type"": 0.025996533795493933, ""instrument_presence"": 0.00949667616334283, ""instrument_count"": 0.006965174129353234, ""polyp_size"": 0.004140786749482402, ""instrument_location"": 0.011789924973204717, ""finding_count"": 0.0, ""polyp_type"": 0.0011389521640091116, ""abnormality_color"": 0.0024096385542168677}"
tfidf_multiobjective,15955,0.009965528047633971,0.410684665852687,0.45603259166405513,"{""1"": 0.016557496360989812, ""2"": 0.007808036564463911, ""3"": 0.005184331797235023}","{""polyp_removal_status"": 0.005956813104988831, ""box_artifact_presence"": 0.01777434312210201, ""text_presence"": 0.02262090483619345, ""abnormality_presence"": 0.003289473684210526, ""procedure_type"": 0.02512998266897747, ""instrument_presence"": 0.004748338081671415, ""instrument_count"": 0.009950248756218905, ""polyp_size"": 0.014492753623188406, ""instrument_location"": 0.01929260450160772, ""finding_count"": 0.0, ""polyp_type"": 0.00683371298405467, ""abnormality_color"": 0.0}"
medheval_tree_v_complexity_gate_23,15955,0.017674710122218742,0.4251689159274102,0.47069884048887495,"{""1"": 0.04057496360989811, ""2"": 0.005141877737573796, ""3"": 0.006144393241167435}","{""polyp_removal_status"": 0.005956813104988831, ""box_artifact_presence"": 0.01854714064914992, ""text_presence"": 0.01014040561622465, ""abnormality_presence"": 0.0024671052631578946, ""procedure_type"": 0.0779896013864818, ""instrument_presence"": 0.00949667616334283, ""instrument_count"": 0.011940298507462687, ""polyp_size"": 0.025879917184265012, ""instrument_location"": 0.01607717041800643, ""finding_count"": 0.0, ""polyp_type"": 0.004555808656036446, ""abnormality_color"": 0.0036144578313253013}"
medheval_tree_v_complexity_gate_3,15955,0.018489501723597618,0.42433572738985076,0.45246004387339395,"{""1"": 0.04057496360989811, ""2"": 0.0076175966482574745, ""3"": 0.006144393241167435}","{""polyp_removal_status"": 0.006701414743112435, ""box_artifact_presence"": 0.01854714064914992, ""text_presence"": 0.0187207488299532, ""abnormality_presence"": 0.0024671052631578946, ""procedure_type"": 0.0779896013864818, ""instrument_presence"": 0.008547008547008548, ""instrument_count"": 0.011940298507462687, ""polyp_size"": 0.024844720496894408, ""instrument_location"": 0.01607717041800643, ""finding_count"": 0.0, ""polyp_type"": 0.00683371298405467, ""abnormality_color"": 0.0036144578313253013}"
