method,n,errors,empty,exact,token_f1,lexical_drift,avg_len
bucket_gate_dev_policy_full,15955,0,0,0.01736132873707302,0.4275274875528699,0.4580382325289878,
bucket_gate_dev_policy_eval,15426,0,0,0.01724361467652016,0.4267829611832511,0.45915985997666275,
tfidf_direct_template,15955,0,0,0.01811344406142275,0.41640556962814557,0.4236916327170166,8.383077405202132
tfidf_evidence_rerank,15955,0,0,0.006957066750235036,0.41293708310233573,0.48191789407709185,9.752992792228142
qwen_evidence_then_answer,15955,0,0,0.0005014102162331557,0.2648391430582532,0.633845189595738,7.71795675336885
qwen_direct_original,15955,0,0,0.00025070510811657786,0.19896607986101392,0.6423691632717017,6.332246944531494
qwen_constrained_answer,15955,0,0,0.0,0.16024585599593186,0.6371043560012535,3.308053901598245
qwen_class_constrained_answer,15955,0,0,0.0,0.10489337523863776,0.7026010654967095,2.331996239423378
